field,probe,x_mm,y_mm,peak_khz,total_rms,mean_value
number_density,boundary,70.0,0.496031746031746,190.0,4.861721835034959e+21,2.280591257828457e+23
number_density,freestream,52.01199200532978,2.242063492063492,70.0,9.257903344691512e+21,1.1953347457625132e+24
pressure,boundary,70.0,0.496031746031746,190.0,20.160340534022456,806.8906505126953
pressure,freestream,52.01199200532978,2.242063492063492,160.0,7.848586290025494,823.7046408081055
