field,name,units,detrend,min,mean,max,p95,p99
number_density,Number density,m^-3,linear,0.0,6.923111476538553e+21,4.9849189453337324e+22,1.8841949006543022e+22,3.1040119998966913e+22
pressure,Pressure,Pa,linear,0.0,7.796847999103289,29.108037679920326,15.594392411831176,21.662489650642925
